,Unnamed: 0,Unnamed: 0.1,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
927,14087,0.3238018618549592,0.3530035300353003,0.8,1.0,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0044452676421559,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0865731155586227,0.0054054054054054,0.0054054054054054,0.0769230769230769,1.0000000000000002,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0,0.4963151669547812,0.0606060606060606,0.7682008368200837,0.8059071729957805,0.5924553721791849,0.5380780947106065,0.4868421052631578,0.0
928,14096,0.3240087346282036,0.4934049340493405,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0037043897017966,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0903304961275975,0.0072072072072072,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0018018018018018,0.7173141661359295,0.0505050505050505,0.797489539748954,0.4978902953586497,0.907039407207814,1.0,0.4605263157894737,0.0
929,14122,0.3246063670842432,0.4934049340493405,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0025930727912576,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0861897093781151,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.0,0.0930232558139534,0.1538461538461538,0.5,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0036036036036036,0.0,0.4259848967336912,0.0909090909090909,0.797489539748954,0.3417721518987341,0.388009430784776,0.4951536970368319,0.7105263157894737,0.0
930,14154,0.3253419147224456,0.3598035980359803,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0037043897017966,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0943946016409784,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0027027027027027,0.2311891547629879,0.0707070707070707,0.7782426778242678,0.5232067510548523,0.3300774671606601,0.3517031293270562,0.4605263157894737,0.0
931,14157,0.3254108723135271,0.2554025540255402,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0059270235228746,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0920941645579326,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0018018018018018,0.3394595578200346,0.0909090909090909,0.8184100418410042,0.540084388185654,0.4671606601549343,0.4142896704513985,0.4210526315789473,0.0
932,14166,0.3256177450867716,0.3598035980359803,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0967741935483871,0.0,0.0009009009009009,0.0,0.0009009009009009,0.0044452676421559,0.5,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0817421976842266,0.0054054054054054,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,0.0,0.0036036036036036,0.0081081081081081,0.3841324720225639,0.0909090909090909,0.7782426778242678,0.4641350210970463,0.4897271808689794,0.6721129880919413,0.8289473684210525,1.0
933,14169,0.3256867026778531,0.3530035300353003,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.032258064516129,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0003704389701796,1.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0841959972394754,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0027027027027027,0.2617596215085069,0.0909090909090909,0.7682008368200837,0.3628691983122362,0.308521387672617,0.3001938521185267,0.7763157894736842,0.0
934,14188,0.3261234340880358,0.3598035980359803,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0018521948508983,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0864964343225212,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0018018018018018,0.390410335729233,0.1717171717171717,0.7782426778242678,0.3839662447257383,0.4752441899629505,0.4754915535862641,0.7236842105263157,0.0
935,14190,0.3261694058154235,0.3598035980359803,0.8,0.0,0.5,0.5,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0048157066123356,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0855762594893029,0.0054054054054054,0.0081081081081081,0.0,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,0.0,0.0036036036036036,0.0027027027027027,0.5634610135565463,0.7171717171717172,0.7782426778242678,0.1772151898734177,0.3169417312226338,0.5945721406812517,0.9078947368421052,0.0
936,14191,0.3261923916791173,0.2554025540255402,0.8,0.5,0.5,0.5,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0100018521948508,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0843493597116785,0.0054054054054054,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,0.0,0.0036036036036036,0.0,0.2032572104449095,0.0202020202020202,0.8184100418410042,0.3628691983122362,0.2596833950825193,0.2921628357795624,0.75,0.0
937,14208,0.3265831513619124,0.1486014860148601,0.8,0.5,1.0,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0092609742544915,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0894103212943792,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0232558139534883,0.0384615384615384,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0,0.7055772905104176,0.1616161616161616,1.0,0.4767932489451476,0.6298416975412596,0.7416228191636666,0.631578947368421,0.0
938,14210,0.3266291230893,0.3598035980359803,0.8,0.5,0.5,0.5,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0037043897017966,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0823556475730388,0.0054054054054054,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,0.0,0.0036036036036036,0.0018018018018018,0.1515785642798653,0.1414141414141414,0.7782426778242678,0.3966244725738396,0.2354328056584708,0.2802547770700637,0.5921052631578947,0.0
939,14212,0.3266750948166877,0.3530035300353003,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0037043897017966,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0858063031976075,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.0,0.0930232558139534,0.1538461538461538,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0036036036036036,0.0,0.5144208898189429,0.4040404040404041,0.7682008368200837,0.3291139240506329,0.4587403166049175,0.5934644142896704,0.8157894736842105,0.0
940,14241,0.3273416848638087,0.1486014860148601,0.8,0.5,0.0,1.0,0.0,1.0,0.0,0.967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0025930727912576,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0869565217391304,0.0054054054054054,0.0054054054054054,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0465116279069767,0.0769230769230769,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0036036036036036,0.0,0.5366208716222364,0.7474747474747475,1.0,0.2658227848101265,0.3122263388346245,0.4896150650789255,0.7368421052631579,0.0
941,14260,0.3277784162739914,0.3598035980359803,0.8,0.5,0.5,0.5,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0022226338210779,1.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0835058661145617,0.0054054054054054,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,0.0,0.0036036036036036,0.0027027027027027,0.2366481666818306,0.0808080808080808,0.7782426778242678,0.4050632911392404,0.2953856517345907,0.294378288562725,0.5263157894736842,0.0
942,14281,0.3282611194115619,0.1486014860148601,0.0,0.5,0.5,0.5,0.0416666666666666,1.0,0.0,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0066679014632339,0.5,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0846560846560846,0.0009009009009009,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0009009009009009,0.0,0.0,0.0081081081081081,0.2806841961604949,0.0808080808080808,1.0,0.4092827004219408,0.4291007073088582,0.4054278593187482,0.7763157894736842,1.0
