,census_tract,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
3572,0.10474242062922912,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.01789709172259508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.30844006102103805,0.6001,0.7397350993377483,0.2781954887218045,0.3413654618473896,0.3588443214999231,0.15789473684210525,0.0
3616,0.10478553898383325,0.5,0.0,0.0,0.0,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.006711409395973153,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,1.0000000000000002,0.2222222222222222,0.15436193990137295,0.7044,0.7397350993377483,0.2756892230576441,0.20233314209217823,0.23128938066697402,0.2894736842105263,1.0
3618,0.8258679856776681,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.006711409395973153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8888888888888888,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.09523809523809523,0.07692307692307693,0.5,0.3333333333333333,1.0,0.2,0.5,0.3333333333333333,1.0,0.0,1.0000000000000002,1.0,0.128321566679675,0.7349,0.5675496688741721,0.2781954887218045,0.13558997896347294,0.16520670047641,0.39473684210526316,0.0
3636,0.8258679592786748,0.0,0.0,0.0,0.0,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.03355704697986577,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.0,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.0,0.21038067194096569,0.6620999999999999,0.5675496688741721,0.3533834586466165,0.22987186842608529,0.2775472568003688,0.2763157894736842,1.0
3657,0.10523609059077899,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.0044742729306487695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.24745450030155744,0.8257,0.7397350993377483,0.2531328320802005,0.3409829795371964,0.32334409097894573,0.43421052631578944,0.0
3735,0.00029302881802095726,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.03131991051454139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,0.8888888888888888,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.09523809523809523,0.07692307692307693,0.5,0.3333333333333333,1.0,0.2,0.5,0.3333333333333333,1.0,0.0,1.0000000000000002,1.0,0.2339021534750062,0.8048000000000001,0.7397350993377483,0.23057644110275688,0.33218588640275387,0.3439372982941447,0.42105263157894735,0.0
3750,0.8258714087470409,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.011185682326621923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.21868237130592116,0.7245,0.5675496688741721,0.24060150375939848,0.24325874928284566,0.27478100507146147,0.43421052631578944,0.0
3761,0.8258661201488522,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.029082774049217,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.20693936921275763,0.4968,0.5675496688741721,0.44611528822055135,0.30120481927710846,0.2586445366528354,0.3421052631578947,0.0
3762,0.8258502455546264,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.0044742729306487695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.12477383190832653,0.7484000000000001,0.5675496688741721,0.16290726817042606,0.13100019124115508,0.17949900107576455,0.7894736842105263,0.0
3800,8.447677636524986e-05,0.5,0.0,0.0,0.0,1.0,0.0,0.03225806451612903,1.0,1.0,0.0,1.0,0.04250559284116331,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,1.0000000000000002,0.0,0.1926774754319367,0.9781000000000001,0.7397350993377483,0.10776942355889724,0.11627462229871868,0.21407714768710617,0.6973684210526315,1.0
