,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
4552,16940,4,1,1,2,9,2,1,1,2,2,2,2,15000,3,2,2,2,2,1,1,3,5,99,2,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,3273,29,76700,55,621,1617,76,1
4553,16940,1,1,1,2,9,2,2,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,60,3,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,4969,26,76700,110,1365,1907,33,1
4554,16940,4,1,1,2,9,2,1,1,2,2,2,2,5000,3,2,2,2,2,1,1,3,5,79,3,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,4969,26,76700,110,1365,1907,33,1
4555,16940,4,1,1,2,9,2,1,1,2,2,2,2,5000,3,2,2,2,2,1,1,3,5,80,1,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,4790,25,76700,72,1456,2042,33,1
4556,16940,4,1,1,2,9,2,1,1,2,2,2,2,15000,3,2,2,2,2,1,1,3,5,82,1,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,4916,19,76700,58,1317,1878,27,1
4557,16940,4,1,1,2,9,2,1,1,2,2,2,2,15000,3,2,2,1,2,1,1,3,5,60,3,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,4969,26,76700,110,1365,1907,33,1
4558,16940,4,1,1,2,9,2,1,1,2,2,2,2,15000,3,2,2,2,2,1,1,3,5,55,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,8158,9,76700,113,2682,3341,23,1
4559,16940,4,1,1,2,9,2,1,1,2,2,2,2,5000,3,2,2,2,2,1,1,3,5,58,3,3,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,4916,19,76700,58,1317,1878,27,1
4560,16940,0,1,1,0,9,2,1,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,53,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4969,26,76700,110,1365,1907,33,1
4561,16940,1,1,1,0,9,2,2,1,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,38,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,6053,21,76700,96,1425,2501,56,1
4562,16220,1,1,1,1,9,2,2,1,1,2,2,2,125000,2,2,2,2,2,1,1,3,5,40,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,4387,14,75800,79,1080,1734,60,1
