,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
496,496,31084,1,0,1,2,0,2,2,1,1,2,2,2,485000,3,2,2,2,2,1,1,3,5,71,9,1,1,1,2,2,5,5,2,2,1,2,2,2,2,1,1,10,7055,98,73100,39,386,1654,63,1
352,352,41740,0,1,1,1,6,2,1,1,1,2,2,2,295000,3,2,2,2,2,1,3,3,5,380,3,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,3060,32,86300,151,762,1020,40,0
95,95,40140,0,0,1,1,0,2,1,31,1,2,2,2,375000,3,2,2,2,2,1,1,3,5,201,1,10,1,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7188,76,69700,88,1089,1884,46,1
625,625,31084,0,1,1,1,5,2,1,1,1,2,2,2,285000,3,2,2,2,2,1,1,3,5,163,2,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,4816,78,73100,109,1205,1389,38,0
571,571,31084,0,0,1,0,6,2,1,32,1,2,2,2,355000,3,2,2,2,2,1,1,3,5,88,1,10,1,5,2,4,5,8,2,4,2,5,2,4,2,1,1,10,5569,79,73100,129,1100,1330,59,0
37,37,31084,0,1,1,0,0,2,1,1,1,2,2,1,815000,2,2,2,1,2,1,3,3,5,600,2,10,2,5,1,4,5,8,1,4,2,5,1,4,1,1,5,10,3129,100,73100,56,224,695,60,0
485,485,31084,0,0,1,1,6,2,1,32,1,2,2,2,505000,3,2,2,2,2,1,1,3,5,103,2,10,1,5,1,4,5,8,1,4,1,5,1,4,2,1,6,10,4209,90,73100,60,174,624,76,0
143,143,11244,0,1,1,2,3,2,1,31,1,2,2,2,675000,2,2,2,2,2,1,1,3,5,262,2,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,2,10,8871,49,97900,156,2491,2754,14,0
918,918,31084,4,1,1,2,71,2,1,4,2,2,1,2,155000,2,2,1,2,2,1,1,3,5,200,3,9,2,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,3230,41,73100,107,576,1124,67,0
158,158,31084,0,1,1,1,0,2,1,32,1,2,2,2,535000,3,2,2,2,2,1,3,3,5,190,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,6003,56,73100,146,705,1532,56,1
