,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
3618,16220,0,1,1,0,0,2,1,1,1,2,2,2,305000,3,2,1,2,2,1,1,3,5,54,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,2,10,4071,3,75800,145,1302,2222,34,1
3626,99999,4,1,1,2,0,2,1,2,2,2,1,2,545000,2,2,1,2,2,1,1,3,5,258,8,8,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,7099,29,79700,131,1731,3539,26,0
3632,16940,2,1,1,2,71,2,3,1,1,2,2,2,425000,2,2,2,2,2,1,1,3,5,118,9,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,2,10,4237,5,76700,117,1459,1812,23,0
3633,16940,2,1,1,0,71,2,3,32,1,2,2,2,385000,2,2,2,2,2,1,1,3,5,111,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,5283,11,76700,138,1702,1910,19,0
3634,16940,2,1,1,1,71,2,3,31,1,2,2,2,185000,2,2,2,2,2,1,1,3,5,0,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,6,10,8555,17,76700,111,2040,2810,38,0
3655,99999,2,1,1,2,2,2,3,31,1,2,2,2,535000,2,2,2,2,2,1,1,3,5,0,3,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,4553,20,79700,125,1072,1581,30,0
3668,16220,1,1,1,1,2,2,2,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,58,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,4853,6,75800,109,1332,1883,40,0
3672,16220,0,1,1,1,1,2,1,1,1,2,2,2,305000,2,2,2,2,2,1,1,3,5,79,3,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,4071,3,75800,145,1302,2222,34,0
3694,16940,1,1,1,0,2,2,2,32,1,2,2,2,195000,2,2,2,2,2,1,1,3,5,47,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,0
3737,16940,0,1,1,1,1,2,1,32,1,2,2,2,295000,3,2,2,2,2,1,1,3,5,121,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,1,10,4969,26,76700,110,1365,1907,33,0
3758,16220,0,1,1,2,1,2,1,31,1,2,2,2,375000,2,2,2,2,2,1,1,3,5,147,1,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4071,3,75800,145,1302,2222,34,0
3768,99999,0,1,1,2,0,2,1,32,1,2,2,2,1265000,2,2,2,2,2,1,1,3,5,450,3,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,7083,3,79700,104,2449,4033,29,0
3792,16220,0,1,1,0,6,2,1,1,1,2,2,2,105000,3,2,2,2,2,1,2,3,5,36,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
3806,99999,0,1,1,2,0,2,1,1,1,2,2,2,595000,2,2,2,2,2,1,1,3,5,460,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,6919,3,79700,114,2321,3470,33,0
3807,16940,2,1,1,1,9,2,3,1,1,2,2,2,395000,2,2,2,2,2,1,1,3,5,64,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,4237,5,76700,117,1459,1812,23,0
3816,16940,0,1,1,1,1,2,1,1,1,2,2,2,375000,2,2,2,2,2,1,1,3,5,123,5,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,0
3817,16940,1,0,1,0,9,2,2,1,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,50,2,10,1,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,8555,17,76700,111,2040,2810,38,0
3819,16940,0,1,1,2,1,2,1,1,1,2,2,2,385000,2,2,2,2,2,1,1,3,5,112,1,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,4237,5,76700,117,1459,1812,23,0
