,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
324,16940,4,1,0,0,0,2,1,31,2,2,1,2,55000,3,2,1,2,2,1,1,3,5,99,3,3,2,2,2,2,3,3,2,2,2,2,2,2,1,1,6,1,6174,32,76700,53,1515,2251,27,1
1317,16940,1,1,0,0,71,2,2,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,63,2,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,3,10,3273,29,76700,55,621,1617,76,0
2895,16220,0,1,0,0,0,2,1,4,1,2,2,2,155000,3,2,2,2,2,1,1,3,5,60,9,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,6,6,4791,12,75800,93,1272,1750,48,1
3187,16940,0,1,0,0,71,2,1,32,1,1111,1111,1111,205000,3,1111,1111,1111,1111,1,1,1111,1111,79,1111,1111,2,5,1,4,3,8,1,4,2,5,1,4,1111,1111,1111,1111,6174,32,76700,53,1515,2251,27,0
4112,16940,1,1,0,0,0,2,2,1,1,2,2,2,115000,3,2,2,2,2,1,1,3,5,55,5,5,2,3,2,2,3,6,2,2,2,2,2,2,1,1,1,3,6174,32,76700,53,1515,2251,27,1
5130,16940,0,1,0,0,0,2,1,4,1,2,2,2,105000,2,2,2,2,2,1,1,3,5,45,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,1,6,10,4237,5,76700,117,1459,1812,23,0
5459,99999,0,1,0,0,0,2,1,4,1,2,1,2,65000,3,2,2,2,2,1,2,3,5,77,8,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,6,1,3113,6,79700,80,846,1094,36,1
9244,16940,2,1,0,0,71,2,3,1,1,2,2,2,265000,2,2,2,2,2,1,1,3,5,50,2,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,0
10781,99999,2,1,0,0,2,2,3,1,1,2,2,2,245000,2,2,2,2,2,1,1,3,5,58,7,10,2,5,3,4,3,8,3,4,2,5,3,4,1,1,6,10,6851,9,79700,129,1996,2300,27,0
11465,16940,2,1,0,0,0,2,3,1,1,2,2,2,385000,3,2,2,2,2,1,1,3,5,65,2,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,2,1,8158,9,76700,113,2682,3341,23,1
13337,16940,4,1,0,0,0,2,1,4,2,2,2,2,45000,3,2,2,2,2,1,1,3,5,65,2,10,2,5,2,4,3,8,2,4,2,5,2,4,1,2,5,10,4332,18,76700,89,742,1804,76,1
13340,16940,0,1,0,0,71,2,1,4,1,2,2,2,45000,2,2,2,2,2,1,1,3,5,65,2,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,1,10,4332,18,76700,89,742,1804,76,0
15238,16940,2,1,0,0,0,2,3,32,1,2,2,2,235000,3,2,2,2,2,2,1,1,1,61,2,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,1,7,4237,5,76700,117,1459,1812,23,1
16628,16220,1,1,0,0,9,2,2,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,50,1,10,2,5,2,4,3,8,2,4,2,5,2,4,1,2,6,10,6565,8,75800,111,1758,2431,25,0
16635,16220,0,1,0,0,9,2,1,1,1,2,2,2,5000,2,2,2,2,2,1,1,3,5,50,1,10,2,5,2,4,3,8,2,4,2,5,2,4,1,2,6,10,6565,8,75800,111,1758,2431,25,0
,,,,,,,,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
