,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
2108,0.048454201,0.35300353,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.012224486,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084732766,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.402147211,0.757575758,0.768200837,0.278481013,0.144829909,0.431182498,1,0
2110,0.048500172,0.148601486,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008149657,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084426041,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.371758712,0.606060606,1,0.223628692,0.259683395,0.324563833,0.684210526,0
2136,0.049097805,0.148601486,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008890535,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084042635,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.731689564,0.373737374,1,0.278481013,0.668912092,0.599003046,0.657894737,0
2156,0.049557522,0.255402554,0.2,0,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.007408779,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083199141,0.000900901,0.008108108,0,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.378309526,0.232323232,0.818410042,0.430379747,0.480970024,0.44364442,0.776315789,0
2203,0.050637858,0.35300353,0.2,0.5,0,0.5,0.125,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.006667901,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.082892416,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.617141297,0.444444444,0.768200837,0.286919831,0.309195015,0.556632512,0.842105263,0
2204,0.050660844,0.255402554,0,0.5,1,1,0.986111111,1,0,0,0,0.000900901,0.000900901,0.000900901,0.002222634,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.082739054,0,0,0.076923077,0.076923077,0.5,0.333333333,0.093023256,0.1,0.5,0.333333333,0.2,0,0.5,0.333333333,0,0,0,0.008108108,0.562733145,0.161616162,0.818410042,0.333333333,0.52745032,0.621711437,0.671052632,0
2215,0.050913688,0.255402554,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.009631413,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.086266391,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.268583386,0.181818182,0.818410042,0.569620253,0.326372516,0.321517585,0.697368421,0
2222,0.051074589,0.255402554,0.2,0.5,0,0,0.125,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.005556585,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083659229,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.375307069,0.343434343,0.818410042,0.286919831,0.310879084,0.295209083,0.552631579,0
2238,0.051442363,0.255402554,0.6,1,0,1,0.986111111,1,1,0,0,0.000900901,0.000900901,0.000900901,0.007779218,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.088643509,0,0.001801802,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0.2,0,0.5,0.333333333,0,0,0.002702703,0.008108108,0.480575016,0.060606061,0.818410042,0.464135021,0.507578309,0.544447521,0.605263158,0
2256,0.051856108,0.255402554,0.2,0.5,0,0.5,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.006667901,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083429185,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.604221636,0.656565657,0.818410042,0.476793249,0.632199394,0.616726669,0.618421053,0
